DAJ00E07B,2017-12-29T00:00:00.000,HABITAT COFFEE SHOP,95,A,1,ROUTINE INSPECTION,EE0000923,3708 N EAGLE ROCK BLVD,LOS ANGELES,FA0170465,CA,90065,OW0178123,GLASSELL COFFEE SHOP LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,HABITAT COFFEE SHOP,ACTIVE,PR0160774
DAQOKRFZB,2017-12-29T00:00:00.000,REILLY'S,92,A,1,ROUTINE INSPECTION,EE0000633,100 WORLD WAY # 120,LOS ANGELES,FA0244690,CA,90045,OW0208441,"AREAS SKYVIEW LAX JV, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,REILLY'S,ACTIVE,PR0193026
DASJI4LUR,2017-12-29T00:00:00.000,STREET CHURROS,93,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,FA0224109,CA,90028,OW0228670,"STREETCHURROS, INC",RESTAURANT (0-30) SEATS LOW RISK,1630,STREET CHURROS,ACTIVE,PR0179282
DA40LU5AT,2017-12-29T00:00:00.000,TRINITI ECHO PARK,94,A,1,ROUTINE INSPECTION,EE0000923,1814 W SUNSET BLVD,LOS ANGELES,FA0252528,CA,90026-3227,OW0246287,AMERICAN HOSPITALITY,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TRINITI ECHO PARK,ACTIVE,PR0201836
DAXV2RMYC,2017-12-29T00:00:00.000,POLLEN,94,A,1,ROUTINE INSPECTION,EE0000923,2100 ECHO PARK AVE,LOS ANGELES,FA0252789,CA,90026,OW0246479,"POLLEN AND PASTRY , LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,POLLEN,ACTIVE,PR0202148
DAMV56BMJ,2017-12-29T00:00:00.000,THE SPOT GRILL,93,A,1,ROUTINE INSPECTION,EE0000727,10004 NATIONAL BLVD,LOS ANGELES,FA0245224,CA,90034,OW0240313,LIQUOR CLUB INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE SPOT GRILL,INACTIVE,PR0193589
DAKSJB0AB,2017-12-29T00:00:00.000,7 ELEVEN #37215A,95,A,1,ROUTINE INSPECTION,EE0000839,3330 W FLORENCE AVE,LOS ANGELES,FA0243779,CA,90043-4706,OW0239028,"S & U INVESTMENTS, INC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,7 ELEVEN #37215A,ACTIVE,PR0192029
DAQOJLNCD,2017-12-29T00:00:00.000,CPK,91,A,1,ROUTINE INSPECTION,EE0000633,100 WORLD WAY # 126,LOS ANGELES,FA0225926,CA,90045,OW0208441,"AREAS SKYVIEW LAX JV, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,CPK,ACTIVE,PR0181243
DAACRFWTS,2017-12-29T00:00:00.000,PHO LALA,95,A,1,ROUTINE INSPECTION,EE0000699,3500 W 6TH ST STE 226,LOS ANGELES,FA0248964,CA,90020,OW0243289,"VANILLA #, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,PHO LALA,ACTIVE,PR0197670
DAE1JXAWW,2017-12-29T00:00:00.000,ABC DONUTS,91,A,1,ROUTINE INSPECTION,EE0000923,3027 N SAN FERNANDO RD UNIT 103,LOS ANGELES,FA0002761,CA,90065,OW0026313,"NOUNG, SAING HOW",RESTAURANT (0-30) SEATS MODERATE RISK,1631,ABC DONUTS,ACTIVE,PR0045001
DAHKJFBMR,2017-12-28T00:00:00.000,UPSTAIRS,95,A,1,ROUTINE INSPECTION,EE0000581,3707 N CAHUENGA BLVD,LOS ANGELES,FA0137987,CA,91604,OW0101400,"CLARITY MANAGEMENT, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,UPSTAIRS,ACTIVE,PR0122211
DASL61OZ3,2017-12-28T00:00:00.000,EL POLLO LOCO,97,A,1,ROUTINE INSPECTION,EE0000857,5319 W SUNSET BLVD,LOS ANGELES,FA0021238,CA,90027,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLLO LOCO,ACTIVE,PR0028596
DAYOUBUYG,2017-12-28T00:00:00.000,POONG NYUN BAKERY,95,A,1,ROUTINE INSPECTION,EE0000854,928 S WESTERN AVE STE 109,LOS ANGELES,FA0044972,CA,90006,OW0019353,"KIM, JUNE",RESTAURANT (0-30) SEATS HIGH RISK,1632,POONG NYUN BAKERY,ACTIVE,PR0036485
DA3N76M8U,2017-12-28T00:00:00.000,EMC RESTAURANT GROUP LLC,90,A,1,ROUTINE INSPECTION,EE0000699,3500 W 6TH ST STE 101,LOS ANGELES,FA0163115,CA,90020,OW0126785,EMC RESTAURANT GROUP LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,EMC RESTAURANT GROUP LLC,ACTIVE,PR0151290
DAK90PBPD,2017-12-28T00:00:00.000,POPULAR DONUTS,90,A,1,ROUTINE INSPECTION,EE0000729,3614 W SLAUSON AVE,LOS ANGELES,FA0044449,CA,90043,OW0020657,"LAM, TAK MENG",RESTAURANT (0-30) SEATS MODERATE RISK,1631,POPULAR DONUTS,ACTIVE,PR0046358
DAA1OISIX,2017-12-28T00:00:00.000,CUSCATLECA BAKERY,92,A,1,ROUTINE INSPECTION,EE0000923,2501 W SUNSET BLVD #A,LOS ANGELES,FA0138657,CA,90026,OW0101989,"CUSCATLECA, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,CUSCATLECA BAKERY,ACTIVE,PR0123010
